zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Stuyvesant Heights,Brooklyn,1210,4.17,19.24,23.32,8.73,Residential,10
Mott Haven/Port Morris,Bronx,420,4.26,20.53,22.75,6.79,Residential,10
Forest Hills,Queens,1420,4.28,20.45,22.86,8.0,Residential,10
Cambria Heights,Queens,117,4.3,21.99,23.42,6.59,Residential,10
Queensbridge/Ravenswood,Queens,258,4.35,21.07,23.75,6.43,Residential,10
Mariners Harbor,Staten Island,156,4.37,22.33,23.26,6.46,Residential,10
Spuyten Duyvil/Kingsbridge,Bronx,517,4.4,23.47,21.51,5.82,Residential,10
Queens Village,Queens,262,4.42,20.15,25.43,13.41,Residential,10
Prospect Park,Brooklyn,159,4.43,18.88,23.67,6.96,Residential,10
East Williamsburg,Brooklyn,1416,4.46,18.99,24.88,6.84,Residential,10
Erasmus,Brooklyn,310,4.59,20.7,24.17,9.42,Residential,10
Arrochar/Fort Wadsworth,Staten Island,95,4.6,21.13,23.68,5.75,Residential,10
Prospect-Lefferts Gardens,Brooklyn,947,4.6,19.53,25.33,8.82,Residential,10
New Dorp/Midland Beach,Staten Island,149,4.62,23.34,23.35,6.27,Residential,10
Central Harlem,Manhattan,1051,4.69,20.89,24.5,6.32,Residential,10
Baisley Park,Queens,329,4.73,19.45,26.82,7.37,Residential,10
Westerleigh,Staten Island,149,4.78,22.09,23.47,6.35,Residential,10
Windsor Terrace,Brooklyn,423,4.98,21.24,25.83,6.29,Residential,10
Boerum Hill,Brooklyn,1464,5.16,20.15,28.08,6.29,Residential,10
Williamsburg (North Side),Brooklyn,1923,5.36,19.08,29.63,10.13,Residential,10
Arden Heights,Staten Island,57,5.59,28.14,26.16,5.32,Residential,10
Stuy Town/Peter Cooper Village,Manhattan,449,5.88,21.54,28.72,5.87,Residential,10
Lenox Hill West,Manhattan,1531,5.89,20.75,30.79,6.15,Residential,10
Broad Channel,Queens,17,5.94,28.08,28.02,4.52,Residential,10
Chinatown,Manhattan,600,5.96,20.67,31.16,12.05,Residential,10
Little Italy/NoLiTa,Manhattan,1533,6.22,19.55,33.64,6.26,Residential,10
Gramercy,Manhattan,1810,6.22,20.36,32.12,6.03,Residential,10
Upper East Side North,Manhattan,2046,6.28,19.51,34.52,8.02,Residential,10
East Elmhurst,Queens,397,6.31,21.46,32.82,15.65,Residential,10
Upper West Side South,Manhattan,1821,6.32,20.61,32.6,6.08,Residential,10
Highbridge,Bronx,243,6.64,20.11,37.67,13.97,Residential,10
Clinton East,Manhattan,2423,6.67,20.39,34.94,10.34,Residential,10
Greenwich Village North,Manhattan,1521,6.85,20.49,35.95,6.21,Residential,10
Union Sq,Manhattan,2517,6.96,19.85,36.85,7.38,Residential,10
Bronx Park,Bronx,129,7.02,20.6,36.46,5.96,Residential,10
Penn Station/Madison Sq West,Manhattan,1677,7.05,20.05,37.54,6.15,Residential,10
East Chelsea,Manhattan,2981,7.35,20.13,38.75,6.59,Residential,10
Financial District North,Manhattan,1583,7.64,19.13,41.95,9.03,Business,10
Inwood Hill Park,Manhattan,52,8.14,21.54,38.77,5.88,Residential,10
Breezy Point/Fort Tilden/Riis Beach,Queens,12,9.06,21.84,37.9,5.47,Residential,10
Claremont/Bathgate,Bronx,161,3.34,19.84,18.52,7.38,Residential,12
Brownsville,Brooklyn,248,3.38,19.88,20.06,7.33,Residential,12
Springfield Gardens North,Queens,158,3.49,20.16,20.03,6.98,Residential,12
Elmhurst,Queens,1101,3.64,20.61,19.41,6.65,Residential,12
Freshkills Park,Staten Island,7,3.67,29.19,15.34,4.17,Residential,12
Homecrest,Brooklyn,385,3.74,21.36,19.17,7.02,Residential,12
Mariners Harbor,Staten Island,171,3.76,21.02,19.94,7.16,Residential,12
Kingsbridge Heights,Bronx,209,3.78,20.5,20.96,6.91,Residential,12
Briarwood/Jamaica Hills,Queens,336,3.82,19.87,21.06,6.6,Residential,12
Bath Beach,Brooklyn,220,3.82,21.59,20.42,6.53,Residential,12
Highbridge,Bronx,168,3.85,20.19,21.23,21.67,Residential,12
Van Cortlandt Park,Bronx,51,3.85,25.28,18.66,6.32,Residential,12
Hunts Point,Bronx,196,3.86,20.39,21.56,6.92,Residential,12
Flatlands,Brooklyn,492,3.88,20.58,21.87,13.29,Residential,12
East Flushing,Queens,133,3.89,24.11,19.56,6.08,Residential,12
Highbridge Park,Manhattan,19,3.89,19.68,22.38,7.5,Residential,12
Morrisania/Melrose,Bronx,175,3.9,21.1,20.78,16.02,Residential,12
Bensonhurst East,Brooklyn,420,3.92,22.09,21.14,6.71,Residential,12
Rego Park,Queens,475,3.94,20.46,21.55,6.76,Residential,12
Murray Hill-Queens,Queens,363,4.0,20.41,21.65,17.26,Residential,12
University Heights/Morris Heights,Bronx,225,4.06,20.98,20.68,6.65,Residential,12
Melrose South,Bronx,278,4.06,22.19,22.52,6.47,Residential,12
Jackson Heights,Queens,1149,4.06,20.93,21.21,8.16,Residential,12
South Ozone Park,Queens,647,4.07,21.99,21.58,17.67,Residential,12
Erasmus,Brooklyn,274,4.12,19.7,23.1,6.86,Residential,12
Westerleigh,Staten Island,166,4.15,24.34,19.3,6.03,Residential,12
Mott Haven/Port Morris,Bronx,398,4.18,19.62,22.75,11.82,Residential,12
Ozone Park,Queens,184,4.2,24.07,21.51,13.82,Residential,12
Forest Hills,Queens,1407,4.21,21.36,22.1,6.54,Residential,12
Queens Village,Queens,318,4.22,21.55,23.35,6.48,Residential,12
Springfield Gardens South,Queens,146,4.3,21.48,24.84,19.9,Residential,12
Longwood,Bronx,96,4.41,20.08,23.72,6.87,Residential,12
Prospect-Lefferts Gardens,Brooklyn,998,4.45,19.68,24.92,6.97,Residential,12
Stuyvesant Heights,Brooklyn,1174,4.47,20.1,24.53,7.18,Residential,12
Cambria Heights,Queens,125,4.54,20.2,26.16,6.5,Residential,12
Queensbridge/Ravenswood,Queens,243,4.58,22.41,24.18,24.02,Residential,12
East Williamsburg,Brooklyn,1296,4.66,19.1,25.82,7.81,Residential,12
Baisley Park,Queens,314,4.68,20.79,25.0,6.6,Residential,12
Arrochar/Fort Wadsworth,Staten Island,108,4.78,21.96,24.32,6.74,Residential,12
Spuyten Duyvil/Kingsbridge,Bronx,621,4.79,23.16,23.63,9.56,Residential,12
New Dorp/Midland Beach,Staten Island,160,4.95,23.53,25.02,5.69,Residential,12
Windsor Terrace,Brooklyn,429,5.06,20.8,25.93,6.41,Residential,12
Inwood Hill Park,Manhattan,51,5.14,20.89,26.12,5.89,Residential,12
Central Harlem,Manhattan,990,5.14,21.77,25.98,10.38,Residential,12
Stuy Town/Peter Cooper Village,Manhattan,458,5.22,20.25,27.48,6.03,Residential,12
Arden Heights,Staten Island,90,5.32,25.1,27.06,6.35,Residential,12
Williamsburg (North Side),Brooklyn,1785,5.41,19.41,30.4,7.13,Residential,12
Prospect Park,Brooklyn,154,5.42,20.26,27.82,6.45,Residential,12
Boerum Hill,Brooklyn,1264,5.64,19.79,30.77,6.5,Residential,12
Chinatown,Manhattan,538,5.78,20.12,31.59,6.55,Residential,12
City Island,Bronx,36,5.78,19.62,30.31,6.64,Residential,12
Lenox Hill West,Manhattan,1573,6.07,20.56,32.02,6.1,Residential,12
Bronx Park,Bronx,88,6.1,22.2,29.86,5.64,Residential,12
Breezy Point/Fort Tilden/Riis Beach,Queens,9,6.28,18.69,34.06,6.94,Residential,12
Broad Channel,Queens,19,6.45,33.27,22.15,4.79,Residential,12
East Elmhurst,Queens,387,6.47,19.4,36.6,45.7,Residential,12
Upper West Side South,Manhattan,1905,6.59,20.52,34.62,6.07,Residential,12
Upper East Side North,Manhattan,2077,6.82,19.94,36.76,7.19,Residential,12
Gramercy,Manhattan,1790,6.95,19.94,37.4,6.24,Residential,12
Greenwich Village North,Manhattan,1499,7.06,19.83,37.52,6.34,Residential,12
Little Italy/NoLiTa,Manhattan,1591,7.14,19.47,39.12,6.24,Residential,12
Clinton East,Manhattan,2350,7.62,19.99,40.97,8.85,Residential,12
Union Sq,Manhattan,2553,7.81,19.15,43.41,6.45,Residential,12
Penn Station/Madison Sq West,Manhattan,1719,8.05,19.96,43.24,6.13,Residential,12
Financial District North,Manhattan,1452,8.15,19.0,45.67,6.5,Business,12
East Chelsea,Manhattan,2964,8.28,20.07,43.5,9.0,Residential,12
Ocean Parkway South,Brooklyn,126,3.37,18.24,20.89,7.89,Residential,6
Pelham Bay,Bronx,158,3.53,21.78,18.3,6.57,Residential,6
Laurelton,Queens,189,3.58,20.4,19.65,6.64,Residential,6
Crotona Park,Bronx,8,3.61,20.59,23.15,6.13,Residential,6
South Jamaica,Queens,170,3.63,22.04,18.91,6.8,Residential,6
Bensonhurst West,Brooklyn,569,3.71,20.13,20.61,6.8,Residential,6
North Corona,Queens,212,3.79,19.03,22.49,7.15,Residential,6
East Flatbush/Remsen Village,Brooklyn,323,3.81,20.16,21.32,17.72,Residential,6
Queensboro Hill,Queens,209,3.88,20.32,21.34,31.63,Residential,6
South Williamsburg,Brooklyn,152,3.91,16.98,24.49,7.11,Residential,6
Norwood,Bronx,350,3.95,19.8,22.03,12.55,Residential,6
Van Nest/Morris Park,Bronx,378,3.98,20.83,21.11,8.83,Residential,6
Kew Gardens Hills,Queens,256,3.99,19.17,22.94,8.0,Residential,6
Crotona Park East,Bronx,99,4.02,19.95,21.79,14.73,Residential,6
Saint Albans,Queens,302,4.02,22.08,22.54,6.43,Residential,6
Manhattan Beach,Brooklyn,213,4.06,20.7,22.79,6.63,Residential,6
Allerton/Pelham Gardens,Bronx,197,4.08,22.63,21.24,6.39,Residential,6
Woodlawn/Wakefield,Bronx,256,4.13,21.74,21.44,10.83,Residential,6
Ridgewood,Queens,1153,4.16,20.22,22.22,6.48,Residential,6
Port Richmond,Staten Island,81,4.17,20.15,23.13,6.76,Residential,6
East Tremont,Bronx,237,4.19,21.4,22.67,6.11,Residential,6
East New York/Pennsylvania Avenue,Brooklyn,169,4.19,20.92,22.04,6.85,Residential,6
Woodside,Queens,736,4.21,22.42,21.13,8.48,Residential,6
Bedford,Brooklyn,1219,4.22,19.86,22.85,9.53,Residential,6
Astoria,Queens,1954,4.25,21.89,21.53,6.18,Residential,6
Crown Heights North,Brooklyn,1863,4.27,19.77,23.31,6.71,Residential,6
Sunnyside,Queens,1127,4.3,21.32,22.06,6.27,Residential,6
Ocean Hill,Brooklyn,333,4.35,20.6,23.39,6.7,Residential,6
East Harlem North,Manhattan,863,4.38,21.13,22.84,9.67,Residential,6
College Point,Queens,217,4.4,19.71,25.88,64.87,Residential,6
Bushwick South,Brooklyn,1962,4.43,19.7,23.83,9.77,Residential,6
West Brighton,Staten Island,159,4.43,21.61,22.7,6.32,Residential,6
Dyker Heights,Brooklyn,325,4.45,23.52,21.51,6.08,Residential,6
Outside of NYC,N/A,5,4.5,14.48,28.67,7.49,Residential,6
Long Island City/Hunters Point,Queens,1519,4.66,20.53,24.66,6.36,Residential,6
Flatbush/Ditmas Park,Brooklyn,1196,4.78,19.91,25.92,18.43,Residential,6
Marine Park/Mill Basin,Brooklyn,374,4.8,21.5,25.39,10.52,Residential,6
Country Club,Bronx,54,4.93,25.09,24.86,5.52,Residential,6
Williamsburg (South Side),Brooklyn,1637,4.97,19.1,27.34,6.75,Residential,6
Coney Island,Brooklyn,436,4.98,20.1,27.4,6.77,Residential,6
Riverdale/North Riverdale/Fieldston,Bronx,425,5.0,20.45,27.11,6.35,Residential,6
Morningside Heights,Manhattan,776,5.04,20.74,26.46,11.39,Residential,6
Sunset Park West,Brooklyn,1013,5.21,20.88,27.34,6.52,Residential,6
Washington Heights South,Manhattan,1068,5.25,21.09,26.97,7.33,Residential,6
Roosevelt Island,Manhattan,166,5.43,18.4,31.3,6.86,Residential,6
Bloomingdale,Manhattan,334,5.52,21.62,27.93,6.08,Residential,6
Red Hook,Brooklyn,459,5.66,21.06,30.82,6.49,Residential,6
East Village,Manhattan,2615,5.71,20.17,30.17,7.1,Residential,6
Upper West Side North,Manhattan,1356,5.87,20.72,30.44,6.22,Residential,6
Lower East Side,Manhattan,2093,5.94,19.61,31.99,6.91,Residential,6
Lincoln Square West,Manhattan,1130,5.97,20.78,30.98,6.84,Residential,6
Marine Park/Floyd Bennett Field,Brooklyn,27,6.09,18.34,33.72,7.07,Residential,6
Saint Michaels Cemetery/Woodside,Queens,8,6.1,20.65,39.14,6.12,Residential,6
Flatiron,Manhattan,1640,6.26,21.18,31.68,5.9,Residential,6
Murray Hill,Manhattan,2192,6.61,20.56,34.07,5.98,Residential,6
UN/Turtle Bay South,Manhattan,1316,6.61,20.75,33.59,8.0,Residential,6
Upper East Side South,Manhattan,2231,6.71,20.22,36.27,6.2,Residential,6
TriBeCa/Civic Center,Manhattan,2685,6.9,20.04,36.78,6.64,Residential,6
Midtown East,Manhattan,2291,7.46,20.08,39.94,6.71,Residential,6
West Concourse,Bronx,461,7.62,21.35,39.09,6.5,Residential,6
World Trade Center,Manhattan,1081,7.97,19.85,42.01,6.11,Residential,6
Flushing Meadows-Corona Park,Queens,332,8.54,19.26,46.56,14.64,Residential,6
Willets Point,Queens,5,9.74,23.86,42.14,5.24,Residential,6
LaGuardia Airport,Queens,7224,12.02,19.41,63.48,7.29,Airport,6
Claremont/Bathgate,Bronx,152,3.51,19.38,20.39,7.09,Residential,4
Morrisania/Melrose,Bronx,191,3.58,20.29,20.57,14.72,Residential,4
Brownsville,Brooklyn,256,3.64,19.61,21.41,20.17,Residential,4
Elmhurst,Queens,939,3.65,21.16,19.36,9.59,Residential,4
East Flushing,Queens,152,3.66,22.26,19.22,6.17,Residential,4
Murray Hill-Queens,Queens,364,3.72,20.82,20.19,6.47,Residential,4
Springfield Gardens South,Queens,173,3.72,21.78,19.1,6.75,Residential,4
Queensbridge/Ravenswood,Queens,217,3.76,20.07,21.01,6.67,Residential,4
Bensonhurst East,Brooklyn,372,3.79,21.5,19.77,6.94,Residential,4
Queens Village,Queens,271,3.81,19.86,21.63,25.99,Residential,4
Springfield Gardens North,Queens,172,3.82,19.76,22.37,26.5,Residential,4
University Heights/Morris Heights,Bronx,221,3.83,20.48,22.78,70.65,Residential,4
Hunts Point,Bronx,194,3.84,18.2,23.1,58.63,Residential,4
Kingsbridge Heights,Bronx,206,3.84,21.66,19.35,6.53,Residential,4
Briarwood/Jamaica Hills,Queens,346,3.86,20.92,20.94,15.07,Residential,4
Homecrest,Brooklyn,393,3.87,21.23,20.8,6.8,Residential,4
Rego Park,Queens,390,3.88,19.98,21.42,6.55,Residential,4
Ozone Park,Queens,181,3.9,22.7,19.56,6.19,Residential,4
Flatlands,Brooklyn,489,3.95,20.8,21.82,23.17,Residential,4
Bath Beach,Brooklyn,180,3.95,21.43,22.37,6.45,Residential,4
South Ozone Park,Queens,617,3.99,20.83,22.17,23.74,Residential,4
Mariners Harbor,Staten Island,128,4.02,21.97,20.13,6.38,Residential,4
Baisley Park,Queens,301,4.03,19.11,23.55,11.76,Residential,4
Mott Haven/Port Morris,Bronx,425,4.03,19.12,22.36,34.09,Residential,4
Longwood,Bronx,123,4.05,22.41,20.24,6.16,Residential,4
Jackson Heights,Queens,1049,4.1,20.93,21.85,6.52,Residential,4
New Dorp/Midland Beach,Staten Island,131,4.15,22.01,22.17,6.98,Residential,4
Cambria Heights,Queens,101,4.17,17.68,26.72,7.22,Residential,4
Melrose South,Bronx,279,4.2,22.21,21.69,33.11,Residential,4
Stuyvesant Heights,Brooklyn,1307,4.2,20.28,22.59,7.79,Residential,4
Van Cortlandt Park,Bronx,58,4.21,23.62,21.27,5.89,Residential,4
Forest Hills,Queens,1419,4.3,22.13,22.0,6.13,Residential,4
Arrochar/Fort Wadsworth,Staten Island,86,4.31,22.29,22.17,6.52,Residential,4
Erasmus,Brooklyn,320,4.32,19.13,25.36,28.86,Residential,4
Prospect-Lefferts Gardens,Brooklyn,1023,4.34,20.48,23.76,11.77,Residential,4
Inwood Hill Park,Manhattan,56,4.37,17.69,25.42,7.34,Residential,4
Westerleigh,Staten Island,152,4.37,24.64,21.02,6.02,Residential,4
Spuyten Duyvil/Kingsbridge,Bronx,574,4.47,22.86,22.22,6.03,Residential,4
East Williamsburg,Brooklyn,1453,4.51,20.23,24.19,9.65,Residential,4
Central Harlem,Manhattan,1098,4.74,20.74,24.77,8.02,Residential,4
Prospect Park,Brooklyn,166,4.91,21.57,25.56,5.76,Residential,4
Williamsburg (North Side),Brooklyn,2079,5.08,19.52,28.1,6.53,Residential,4
Highbridge,Bronx,216,5.11,19.16,27.67,35.92,Residential,4
Arden Heights,Staten Island,68,5.13,22.73,25.74,6.42,Residential,4
Windsor Terrace,Brooklyn,427,5.14,21.9,26.08,10.53,Residential,4
Stuy Town/Peter Cooper Village,Manhattan,476,5.23,20.63,26.53,5.89,Residential,4
Boerum Hill,Brooklyn,1365,5.28,20.81,27.83,6.28,Residential,4
Chinatown,Manhattan,537,5.31,19.25,28.97,11.92,Residential,4
City Island,Bronx,36,5.4,16.0,35.52,7.34,Residential,4
Highbridge Park,Manhattan,12,5.67,23.08,27.53,5.09,Residential,4
Gramercy,Manhattan,1773,5.73,21.0,29.45,6.09,Residential,4
Lenox Hill West,Manhattan,1671,5.83,21.77,29.32,6.25,Residential,4
Upper East Side North,Manhattan,2248,5.93,20.27,31.35,6.54,Residential,4
Upper West Side South,Manhattan,1988,5.95,25.57,30.15,5.92,Residential,4
Little Italy/NoLiTa,Manhattan,1542,6.01,20.16,31.74,8.32,Residential,4
Greenwich Village North,Manhattan,1713,6.1,20.87,31.39,7.96,Residential,4
Clinton East,Manhattan,2330,6.15,21.36,31.36,14.59,Residential,4
East Elmhurst,Queens,342,6.28,20.64,33.1,9.98,Residential,4
Broad Channel,Queens,13,6.34,29.58,27.46,4.16,Residential,4
Union Sq,Manhattan,2552,6.36,20.66,32.81,7.31,Residential,4
Bronx Park,Bronx,77,6.45,19.86,33.27,6.75,Residential,4
Penn Station/Madison Sq West,Manhattan,1680,7.03,20.51,36.78,5.95,Residential,4
East Chelsea,Manhattan,2987,7.2,20.69,37.18,6.08,Residential,4
Financial District North,Manhattan,1378,7.33,19.79,39.42,8.37,Business,4
Freshkills Park,Staten Island,7,7.4,26.31,28.29,5.06,Residential,4
Breezy Point/Fort Tilden/Riis Beach,Queens,14,8.06,18.05,42.17,6.23,Residential,4
Crotona Park,Bronx,9,2.84,23.92,16.05,6.41,Residential,10
Crotona Park East,Bronx,114,3.33,20.65,18.62,7.0,Residential,10
South Jamaica,Queens,193,3.35,18.59,20.46,8.41,Residential,10
East Flatbush/Remsen Village,Brooklyn,299,3.38,19.97,19.76,14.07,Residential,10
East Tremont,Bronx,235,3.57,19.8,20.46,6.98,Residential,10
Laurelton,Queens,156,3.59,21.92,19.76,6.96,Residential,10
Ocean Parkway South,Brooklyn,112,3.7,20.12,23.26,7.45,Residential,10
North Corona,Queens,209,3.75,22.16,19.15,6.52,Residential,10
Woodside,Queens,758,3.8,21.6,19.1,9.62,Residential,10
Ocean Hill,Brooklyn,357,3.81,19.95,21.38,7.03,Residential,10
Coney Island,Brooklyn,319,3.88,20.08,22.2,13.64,Residential,10
Allerton/Pelham Gardens,Bronx,155,3.89,20.97,20.04,6.86,Residential,10
Bensonhurst West,Brooklyn,492,3.92,20.95,20.95,8.18,Residential,10
Queensboro Hill,Queens,204,3.92,19.72,21.22,17.31,Residential,10
Norwood,Bronx,324,3.94,18.54,22.74,7.33,Residential,10
East New York/Pennsylvania Avenue,Brooklyn,143,3.95,21.59,19.75,6.29,Residential,10
Port Richmond,Staten Island,105,3.95,20.54,21.82,7.24,Residential,10
Van Nest/Morris Park,Bronx,425,4.02,19.97,21.65,7.05,Residential,10
Marine Park/Mill Basin,Brooklyn,362,4.04,20.49,22.16,7.08,Residential,10
Bedford,Brooklyn,1205,4.05,18.98,22.41,7.14,Residential,10
Pelham Bay,Bronx,163,4.07,22.73,20.89,6.3,Residential,10
Saint Albans,Queens,297,4.08,20.55,22.64,6.78,Residential,10
Woodlawn/Wakefield,Bronx,261,4.09,21.01,22.52,28.32,Residential,10
Ridgewood,Queens,1110,4.09,20.15,22.27,13.49,Residential,10
Astoria,Queens,1720,4.16,21.16,21.69,12.22,Residential,10
South Williamsburg,Brooklyn,130,4.2,20.16,22.24,7.52,Residential,10
Dyker Heights,Brooklyn,346,4.23,21.42,22.6,6.33,Residential,10
Crown Heights North,Brooklyn,1822,4.28,19.42,23.71,6.92,Residential,10
East Harlem North,Manhattan,878,4.28,20.91,22.26,6.52,Residential,10
Sunnyside,Queens,1176,4.33,21.03,22.15,9.32,Residential,10
Kew Gardens Hills,Queens,271,4.33,19.24,23.35,16.62,Residential,10
Bushwick South,Brooklyn,1807,4.34,19.46,23.96,6.82,Residential,10
Flatbush/Ditmas Park,Brooklyn,1178,4.52,19.72,24.79,6.67,Residential,10
College Point,Queens,195,4.65,20.05,25.47,22.3,Residential,10
Manhattan Beach,Brooklyn,153,4.7,21.52,22.89,6.32,Residential,10
Long Island City/Hunters Point,Queens,1555,4.73,20.77,25.07,6.28,Residential,10
West Brighton,Staten Island,169,4.83,23.99,22.86,5.66,Residential,10
Outside of NYC,N/A,5,4.84,21.45,24.87,5.63,Residential,10
Marine Park/Floyd Bennett Field,Brooklyn,25,4.86,21.07,29.04,6.56,Residential,10
Washington Heights South,Manhattan,1137,4.94,20.68,25.7,9.59,Residential,10
Bloomingdale,Manhattan,338,4.99,20.32,27.11,25.37,Residential,10
Country Club,Bronx,55,5.05,23.57,25.68,5.53,Residential,10
Sunset Park West,Brooklyn,1050,5.08,21.52,25.95,6.52,Residential,10
Williamsburg (South Side),Brooklyn,1609,5.1,18.95,28.61,6.7,Residential,10
Riverdale/North Riverdale/Fieldston,Bronx,457,5.33,21.55,28.22,7.17,Residential,10
Morningside Heights,Manhattan,1002,5.41,19.72,28.76,10.82,Residential,10
Upper West Side North,Manhattan,1350,5.47,20.53,28.88,6.32,Residential,10
Saint Michaels Cemetery/Woodside,Queens,7,5.53,28.28,25.71,4.9,Residential,10
East Village,Manhattan,2606,5.56,19.6,29.65,7.2,Residential,10
Lincoln Square West,Manhattan,1178,5.67,20.28,30.19,6.2,Residential,10
Red Hook,Brooklyn,463,5.8,18.91,32.59,8.34,Residential,10
Lower East Side,Manhattan,2120,5.94,19.01,32.78,8.72,Residential,10
Roosevelt Island,Manhattan,155,6.03,18.41,34.16,40.02,Residential,10
UN/Turtle Bay South,Manhattan,1405,6.44,20.22,33.19,6.13,Residential,10
Flatiron,Manhattan,1628,6.65,20.39,34.42,5.93,Residential,10
Murray Hill,Manhattan,2203,7.02,20.06,36.62,8.44,Residential,10
Upper East Side South,Manhattan,2397,7.1,19.85,38.21,6.51,Residential,10
TriBeCa/Civic Center,Manhattan,2769,7.38,19.59,39.99,6.2,Residential,10
Willets Point,Queens,16,7.59,24.39,39.68,6.52,Residential,10
Midtown East,Manhattan,2539,8.09,19.84,43.46,6.53,Residential,10
West Concourse,Bronx,488,8.11,21.46,42.74,13.57,Residential,10
World Trade Center,Manhattan,1137,8.47,19.71,44.78,10.18,Residential,10
Flushing Meadows-Corona Park,Queens,200,8.73,20.24,45.61,6.65,Residential,10
LaGuardia Airport,Queens,7621,11.99,19.34,63.45,8.21,Airport,10
Homecrest,Brooklyn,422,3.39,19.87,19.56,7.4,Residential,1
Brownsville,Brooklyn,261,3.44,19.97,19.45,35.61,Residential,1
Van Cortlandt Park,Bronx,50,3.47,20.36,18.1,6.37,Residential,1
Elmhurst,Queens,995,3.48,20.47,18.49,8.36,Residential,1
Bensonhurst East,Brooklyn,422,3.51,19.83,19.67,9.93,Residential,1
Morrisania/Melrose,Bronx,195,3.52,20.2,19.42,7.04,Residential,1
Melrose South,Bronx,287,3.53,21.28,19.14,13.3,Residential,1
Springfield Gardens North,Queens,145,3.62,21.71,19.7,15.55,Residential,1
Murray Hill-Queens,Queens,358,3.65,21.0,19.73,6.67,Residential,1
Claremont/Bathgate,Bronx,158,3.68,20.61,19.16,7.08,Residential,1
Queens Village,Queens,258,3.69,20.9,21.17,6.75,Residential,1
University Heights/Morris Heights,Bronx,214,3.7,20.78,19.85,10.21,Residential,1
Briarwood/Jamaica Hills,Queens,314,3.72,21.9,19.72,6.89,Residential,1
Broad Channel,Queens,13,3.81,23.1,20.61,6.11,Residential,1
Bath Beach,Brooklyn,191,3.85,22.88,19.47,6.24,Residential,1
Ozone Park,Queens,186,3.86,21.34,19.61,11.14,Residential,1
Erasmus,Brooklyn,259,3.88,20.08,21.45,41.73,Residential,1
Queensbridge/Ravenswood,Queens,162,3.88,20.16,20.93,6.78,Residential,1
South Ozone Park,Queens,556,3.89,20.62,20.71,19.96,Residential,1
Rego Park,Queens,412,3.92,20.69,20.55,9.27,Residential,1
Mariners Harbor,Staten Island,122,3.93,23.86,19.41,41.09,Residential,1
Highbridge,Bronx,176,3.94,20.02,21.16,14.87,Residential,1
Hunts Point,Bronx,192,3.94,20.28,21.3,8.88,Residential,1
