zone,trip_count,total_airport_fees,avg_company_profit,avg_driver_income
TriBeCa/Civic Center,849,2122.5,43.9,58.65,10
East Elmhurst,271,645.0,6.21,12.87,10
South Ozone Park,1300,3145.0,6.33,10.85,10
Springfield Gardens North,235,545.0,6.5,14.05,10
Springfield Gardens South,235,543.75,6.91,15.41,10
Ozone Park,92,220.0,7.71,19.23,10
Jackson Heights,428,1037.5,7.97,18.26,10
East Flushing,33,76.25,8.72,26.06,10
Elmhurst,255,612.5,8.81,22.17,10
Baisley Park,374,891.25,9.31,16.92,10
Brownsville,88,213.75,9.72,32.36,10
Murray Hill-Queens,72,170.0,10.24,24.26,10
Cambria Heights,103,237.5,10.25,26.99,10
Briarwood/Jamaica Hills,132,316.25,10.35,22.82,10
Van Cortlandt Park,4,10.0,10.78,63.33,10
Rego Park,104,256.25,11.54,26.1,10
Queens Village,131,306.25,12.33,30.0,10
Forest Hills,335,822.5,12.58,25.41,10
Erasmus,96,233.75,14.68,46.16,10
Flatlands,108,255.0,14.76,40.68,10
Morrisania/Melrose,40,96.25,15.53,42.6,10
Kingsbridge Heights,22,51.25,16.42,48.78,10
Prospect-Lefferts Gardens,297,717.5,17.28,46.26,10
East Williamsburg,370,912.5,17.71,40.37,10
Melrose South,40,100.0,17.78,36.94,10
Longwood,19,46.25,18.01,41.59,10
Queensbridge/Ravenswood,77,190.0,18.44,36.98,10
